DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,LOA,TYPENAME
2019-11-27 11:14:42,416462000,1.30828,104.05962,269.0,0.0,208,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:43,477712400,1.41458,104.48156,49.8,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
2019-11-27 11:14:43,563027990,1.29918,104.09299,319.7,0.2,511,0,9692533,STAR 2,9V2693,80,37,8,5,6,3.2,AEPB,11-25 11:00,45,Bunkering Tanker
2019-11-27 11:14:44,533001350,1.32437,104.22803,350.0,0.1,67,0,9115573,STRAITS 3,9MPN8,80,61,14,3,9,4.2,PASIR GUDANG,11-21 05:00,75,Bunkering Tanker
2019-11-27 11:14:45,566886000,1.55795,104.56778,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:46,533170354,1.33550,104.10316,305.8,0.1,57,0,9066186,SHIMA MARU       .,9WRZ2,80,70,20,2,11,5.5,,02-26 05:00,90,Oil Products Tanker
2019-11-27 11:14:46,319118900,1.28122,104.30590,81.3,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:46,525888888,1.05451,104.21071,345.1,0.0,511,8,9744972,BERKAT ANUGERAH 05,YBFP,80,70,5,7,7,2.2,TG UBAN,11-27 11:00,75,Oil Products Tanker
2019-11-27 11:14:47,232011742,1.29329,104.09722,263.0,7.7,263,0,9739525,BERGE LOGAN,MBZU9,70,280,47,36,21,12.1,SG-PEJSB,11-27 11:00,327,Bulk Carrier
2019-11-27 11:14:47,533000330,1.33633,104.09288,54.0,0.0,106,0,9380025,NAUTICA JOHOR BAHRU,9MFE6,80,81,4,5,12,4.9,JOHOR ANCHORAGE,11-26 19:00,85,Oil Products Tanker
2019-11-27 11:14:47,405000249,1.25688,104.21833,83.0,12.4,80,0,9217682,ZAHAB JAHAN,S2AO2,70,160,30,20,11,7.0,TANJUNG KAMPEH,11-28 18:00,190,Bulk Carrier
2019-11-27 11:14:47,356426000,1.10722,104.88910,311.9,15.3,314,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
