vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
1070,72.841639,18.925166,9144,11993,02:56.9,36.094,0,,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,8.135,16.036","0.0,0.0,113.538,239.008","0,0,251,934"
1071,72.846298,18.926191,9098,11973,02:56.9,36.069,0,,10,33,28,S,0,144,FALSE,FALSE,0,"0.0,0.0,10.09,17.481","0.0,0.0,112.158,238.375","0,0,314,1038"
1072,72.856699,18.922136,8982,11996,02:56.9,36.007,3,TP,14,37,37,S,0,100,FALSE,FALSE,0,"0.0,0.0,1.658,7.872","0.0,0.0,110.017,234.971","0,0,87,521"
1073,72.858519,18.92395,8967,11973,02:56.9,35.999,3,TP,14,49,24,S,0,8,FALSE,FALSE,0,"0.0,0.0,1.311,3.17","0.0,0.0,111.097,246.488","0,0,80,279"
1074,72.864094,18.924717,8911,11954,02:56.9,35.968,0,,63,99,63,M,0,18,FALSE,FALSE,0,"0.0,0.0,31.71,19.925","0.0,0.0,114.274,301.667","0,0,987,2032"
1075,72.871737,18.92233,8827,11965,02:56.9,35.923,0,,390,360,105,L,0,180,FALSE,FALSE,0,"0.0,0.0,42.708,61.425","0.0,0.0,115.439,310.945","0,0,1307,5493"
1076,72.866922,18.924825,8882,11947,02:56.9,35.953,0,,59,85,66,M,0,26,FALSE,FALSE,0,"0.0,0.0,8.351,92.689","0.0,0.0,114.656,312.991","0,0,297,9457"
1077,72.860766,18.927386,8951,11932,02:56.9,35.99,0,,47,85,51,M,0,11,FALSE,FALSE,0,"0.0,0.0,14.585,18.584","0.0,0.0,113.019,296.656","0,0,467,1790"
1078,72.862597,18.926871,8931,11934,02:56.9,35.979,0,,53,86,57,M,0,16,FALSE,FALSE,0,"0.0,0.0,17.824,19.826","0.0,0.0,113.709,304.965","0,0,567,2070"
1079,72.869366,18.925898,8859,11931,02:56.9,35.94,0,,42,79,49,M,0,8,FALSE,FALSE,0,"0.0,0.0,8.951,18.447","0.0,0.0,115.125,321.686","0,0,315,2050"
1080,72.864474,18.927064,8912,11928,02:56.9,35.969,0,,57,99,52,M,0,179,FALSE,FALSE,0,"0.0,0.0,17.872,13.461","0.0,0.0,114.935,316.861","0,0,584,1616"
1081,72.857723,18.929555,8987,11915,02:56.9,36.009,0,,29,68,41,S,0,83,FALSE,FALSE,0,"0.0,0.0,4.625,14.144","0.0,0.0,112.046,259.141","0,0,178,997"
1082,72.868201,18.92826,8876,11908,02:56.9,35.95,0,,49,86,53,M,0,26,FALSE,FALSE,0,"0.0,0.0,17.437,12.955","0.0,0.0,115.264,325.804","0,0,570,1544"
1083,72.861239,18.929716,8951,11906,02:56.9,35.99,0,,47,87,49,M,0,11,FALSE,FALSE,0,"0.0,0.0,22.861,16.086","0.0,0.0,113.382,313.037","0,0,710,1846"
1084,72.860499,18.930836,8961,11896,02:56.9,35.995,0,,22,54,37,S,0,1,FALSE,FALSE,0,"0.0,0.0,6.331,4.49","0.0,0.0,113.702,318.431","0,0,234,712"
1085,72.864855,18.930842,8916,11887,02:56.9,35.971,0,,56,108,48,M,0,15,FALSE,FALSE,0,"0.0,0.0,17.297,26.147","0.0,0.0,115.943,329.084","0,0,572,3772"
1086,72.862722,18.931771,8940,11881,02:56.9,35.984,0,,46,88,49,M,0,11,FALSE,FALSE,0,"0.0,0.0,18.647,22.049","0.0,0.0,114.519,327.18","0,0,599,2922"
1087,72.866465,18.931621,8901,11876,02:56.9,35.963,0,,53,87,55,M,0,23,FALSE,FALSE,0,"0.0,0.0,28.286,16.129","0.0,0.0,116.132,333.996","0,0,896,2182"
1088,72.859206,18.933042,8979,11875,02:56.9,36.005,0,,44,94,45,M,0,22,FALSE,FALSE,0,"0.0,0.0,12.388,10.99","0.0,0.0,114.677,1028.78","0,0,422,2201"
1089,72.858075,18.934144,8993,11865,02:56.9,36.013,0,,46,83,53,M,0,22,FALSE,FALSE,0,"0.0,0.0,15.324,15.573","0.0,0.0,114.37,986.655","0,0,507,2945"
1090,72.878582,18.912214,8735,12059,02:56.9,35.874,0,,38,95,38,M,0,6,FALSE,FALSE,0,"0.0,0.0,12.636,15.908","0.0,0.0,118.923,300.788","0,0,435,1355"
1091,72.876118,18.915798,8768,12026,02:56.9,35.891,0,,112,136,82,L,0,178,FALSE,FALSE,0,"0.0,0.0,11.96,43.355","0.0,0.0,116.815,300.165","0,0,409,3584"
