"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:59:12",636092031,18.89617,72.86883,10.0,0.0,187,9515759,"HAMMONIA KORSIKA    ","A8VQ8  ",70,161,29,11,21,8.5,"IN BOM              ","10-19 03:30"
"2018-10-23 00:59:13",419017300,18.90672,72.85977,209.0,9.4,216,10267904,"DCI DREDGE_16","VWXU",90,30,92,11,9,0.0,"","00-00 00:00"
"2018-10-23 00:59:14",419001069,18.95677,72.86176,212.0,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:15",419098600,18.90780,72.87528,201.0,0.0,511,7806075,"GEO HINDSAGAR","AVEK",90,16,57,14,2,5.8,"MUMBAI","05-15 10:00"
"2018-10-23 00:59:15",419000791,18.95486,72.85395,171.2,0.1,511,8849361,"VMS 21              ","AWCR   ",90,175,13,15,15,1.5,"MUMBAI              ","12-02 02:00"
"2018-10-23 00:59:16",419060900,18.94376,72.84128,279.0,0.0,192,9371880,"TAG MAMTA           ","AULD   ",52,15,21,7,3,3.8,"MUMBAI              ","11-07 01:00"
"2018-10-23 00:59:16",355001000,18.94087,72.84366,135.0,0.0,194,9030412," GOODMAN","3FVM7",99,20,47,8,8,3.9,"MUMBAI,INDIA","09-11 08:00"
"2018-10-23 00:59:17",419701000,18.89396,72.85157,210.1,8.2,208,9471939,"OCEAN     DIAMOND   ","AUUF   ",90,10,60,11,6,4.4,"PILOT STN           ","10-22 21:30"
"2018-10-23 00:59:17",477759700,18.92915,72.88283,238.0,11.7,238,9535149,"MOL GRANDEUR","VRIQ8",74,199,76,20,20,12.0,"LKCMB","10-25 14:30"
"2018-10-23 00:59:18",572549210,18.93802,72.86632,208.6,0.1,511,8407008,"ENERGY GIRL","T2JD4",70,19,62,11,7,3.0,"MUMBAI","01-12 12:44"
"2018-10-23 00:59:18",419000294,18.92678,72.86434,286.9,0.0,200,9547233,"SCI PAWAN           ","AVLI   ",90,20,46,5,11,5.0,"MUMBAI              ","10-19 18:00"
"2018-10-23 00:59:19",419322000,18.93062,72.86048,137.0,0.0,332,8316766,"SAMUDRA SHAUDHIKAMA ","VWSK   ",99,10,25,4,4,2.4,"MUMBAI              ","08-18 13:00"
"2018-10-23 00:59:21",419000694,18.93170,72.84120,201.8,1.1,511,0,"T239","AVYY",99,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:21",419001050,18.92572,72.86917,303.7,0.1,193,9169354,"TAG 19              ","AWMM   ",70,12,54,12,4,5.8,"NHAVA               ","07-18 08:00"
"2018-10-23 00:59:22",419901513,18.90690,72.82744,294.0,0.0,294,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:22",419001070,18.91758,72.86617,218.3,7.4,218,9724398,"CREST MERCURY ONE   ","AWNG   ",52,8,57,11,5,5.0,"BFL                 ","10-22 05:00"
"2018-10-23 00:59:24",419562000,18.94602,72.86556,342.6,0.0,195,9304710,"CANARA PRIDE","AUHG",90,18,49,10,6,3.7,"MUMBAI ","01-02 16:00"
"2018-10-23 00:59:25",419901486,18.88042,72.82555,184.7,6.3,184,0,"","8UXL",30,14,5,4,4,0.0,"","00-00 24:60"
"2018-10-23 00:59:25",419000185,18.93533,72.84450,351.0,1.5,511,9603582,"TAGRAJVIR","AVHZ",0,0,0,0,0,0.0,"","00-00 00:00"
"2018-10-23 00:59:25",304921000,18.93444,72.84465,352.4,1.6,183,9487213,"HANNAH S","V2GX9",79,150,39,17,15,10.1,"MUMBAI","10-20 06:30"
"2018-10-23 00:59:26",311043100,18.91130,72.87083,273.0,0.0,194,9451238,"SERENE JUNIPER      ","C6YR7  ",70,160,30,12,20,11.2,"IN BOM              ","10-18 07:36"
